SMA5,EMA5,SMA10,EMA10,SMA50,EMA50,SMA100,EMA100,Close
0.4919642,0.4909803526,0.4968748,0.4939973105,0.46968742,0.4306558223,0.49937494,0.0555657935,0.486607
0.4888392,0.4872905684,0.4941963,0.4914361631,0.46999992,0.4325873979,0.49912941,0.0639686689,0.479911
0.4870534,0.4885507123,0.4926338,0.4913697698,0.47058026,0.4348808725,0.49874994,0.0724261408,0.491071
0.4892856,0.4923671415,0.4921874,0.4929389026,0.47142848,0.4374345638,0.49823655,0.0808929499,0.5
0.489732,0.4919350943,0.4910713,0.4925992839,0.4728124,0.4395379534,0.49734369,0.0890152875,0.491071
0.4937498,0.4968553962,0.492857,0.4951623232,0.4749106,0.4421716023,0.49607136,0.0972861927,0.506696
0.5049104,0.5098082641,0.4968748,0.5025353554,0.47790166,0.4458399316,0.49499993,0.1059679315,0.535714
0.5187498,0.5266281761,0.5029016,0.5130321998,0.4810713,0.4503273069,0.49433029,0.1149639724,0.560268
0.530357,0.5370974507,0.5098213,0.521214709,0.4842856,0.4545511772,0.4938169,0.123737676,0.558036
0.55,0.5544936338,0.519866,0.5335913073,0.4878124,0.4598348957,0.49354905,0.1329564547,0.589286
0.566518,0.5660910892,0.5301339,0.5437176151,0.4909374,0.4649114096,0.49341512,0.1419926833,0.589286
0.5776788,0.5745667261,0.5412946,0.5524085942,0.49357134,0.4698763739,0.49357137,0.1508941747,0.591518
0.5839288,0.5802171508,0.5513393,0.5595193952,0.49629456,0.4746466338,0.49397316,0.159619399,0.591518
0.5848216,0.5743114338,0.5575893,0.5600613234,0.49834814,0.4780918638,0.49419637,0.1675972326,0.5625
0.5794644,0.5703742892,0.5647322,0.5605047191,0.50004456,0.4814019868,0.49412941,0.1754170894,0.5625
0.5763394,0.5714698595,0.5714287,0.5628967702,0.50200886,0.4850199873,0.4942187,0.1833031075,0.573661
0.5709822,0.5692239063,0.5743305,0.5632304483,0.50397314,0.4881459486,0.49441959,0.1908561548,0.564732
0.5616072,0.5610302709,0.572768,0.5598509123,0.50571422,0.4903615193,0.49439727,0.1978618349,0.544643
0.560268,0.5592881806,0.5725448,0.55911511,0.50799102,0.4929278911,0.49437495,0.2049497986,0.555804
0.560268,0.5603587871,0.5698662,0.5597305446,0.51040174,0.495656209,0.49446424,0.2120300006,0.5625
0.5629466,0.5692571914,0.569643,0.5646984456,0.51339282,0.4992404361,0.49446424,0.2194562184,0.587054
0.5660716,0.5729571276,0.5685269,0.5675454555,0.51633924,0.5024214779,0.49457585,0.2266027685,0.580357
0.572768,0.5746797517,0.5671876,0.569469009,0.5184821,0.5053902434,0.49455353,0.2335636048,0.578125
0.575,0.5721078345,0.567634,0.5690135528,0.5203571,0.5078049006,0.49435263,0.2401655928,0.566964
0.5741072,0.567417223,0.5671876,0.5670176341,0.5222321,0.5097747476,0.49408478,0.2464600563,0.558036
0.5678572,0.5635461487,0.5654019,0.5649787916,0.52415176,0.5115798163,0.49388389,0.252585679,0.555804
0.5598216,0.5557570991,0.5629466,0.5604697386,0.52531248,0.5127013529,0.49357139,0.2582805962,0.540179
0.5482144,0.5438677327,0.5604912,0.5531277861,0.52589284,0.5129910646,0.49323657,0.2634649211,0.520089
0.5406252,0.5389178218,0.5578126,0.5487441886,0.52651784,0.5136195719,0.49319193,0.2687233979,0.529018
0.532143,0.5311535479,0.5531251,0.542722518,0.52687498,0.5136982161,0.49330354,0.2736125385,0.515625
0.5263394,0.5296976986,0.5470983,0.5398249692,0.52745534,0.5142114625,0.49381694,0.2786258744,0.526786
0.5223214,0.5264947991,0.5410715,0.5362366112,0.52839284,0.5144419542,0.49408479,0.2834073224,0.520089
0.51875,0.5184071994,0.5334822,0.5300539546,0.5295089,0.5139631325,0.4939955,0.2877404843,0.502232
0.5058036,0.5003667996,0.5232144,0.5180961447,0.5295982,0.5120150096,0.49352675,0.2912364352,0.464286
0.4946428,0.4868515331,0.5133929,0.5075006638,0.5289732,0.5099681857,0.49299103,0.2945747434,0.459821
0.4812498,0.4778413554,0.5037946,0.498831634,0.52799104,0.5080016294,0.49272317,0.2978469465,0.459821
0.4660712,0.4666262369,0.4941963,0.4888978824,0.52642854,0.5054994479,0.49229906,0.3007449475,0.444196
0.455357,0.4606378246,0.4870535,0.4815820856,0.52504462,0.5032704891,0.49207585,0.3036739783,0.448661
0.4558034,0.4625978831,0.4808035,0.4788431609,0.52410712,0.501829215,0.49207585,0.3068986124,0.466518
0.45,0.451999922,0.4723214,0.470108768,0.52263392,0.4990439125,0.49183032,0.3093521844,0.430804
0.4375,0.4337736147,0.4593749,0.4568746284,0.52062498,0.4950547787,0.49113835,0.3110941411,0.397321
0.4299108,0.4245990765,0.447991,0.4476701505,0.51861606,0.4915722383,0.49033478,0.3129784156,0.40625
0.425,0.424435051,0.4401785,0.4433859413,0.51696428,0.4889265427,0.48999996,0.3151789816,0.424107
0.41875,0.428046034,0.4372767,0.441909952,0.51558036,0.4868222861,0.49002228,0.317556982,0.435268
0.421875,0.4341736893,0.4359375,0.4427315971,0.5144643,0.4852382357,0.49008925,0.3201089031,0.446429
0.4348216,0.4434671262,0.4361608,0.4462447613,0.5139286,0.48432905,0.49046872,0.3229196971,0.462054
